id,primary_property_type
252064,Library
232458,Multifamily Housing
254616,Office
103812,Office
254073,Multifamily Housing
254385,Medical Office
160214,
103745,Mixed Use Property
157607,Multifamily Housing
254329,Multifamily Housing
129621,Senior Living Community
250020,Other - Recreation
254001,Multifamily Housing
251757,K-12 School
250165,Mixed Use Property
157100,Multifamily Housing
101722,Office
101815,Multifamily Housing
251714,K-12 School
175477,Multifamily Housing
112141,Multifamily Housing
101910,Office
159419,Multifamily Housing
256550,Multifamily Housing
255023,Multifamily Housing
166122,K-12 School
119808,College/University
134516,Multifamily Housing
254102,Multifamily Housing
100372,Hospital (General Medical & Surgical)
113507,Multifamily Housing
147565,Multifamily Housing
251889,K-12 School
172640,Senior Living Community
244613,Multifamily Housing
104095,
115108,
165664,Mixed Use Property
159733,Multifamily Housing
173476,Worship Facility
100533,K-12 School
105034,
101961,Office
173857,Multifamily Housing
242563,Multifamily Housing
116752,Multifamily Housing
115046,Multifamily Housing
160208,Hotel
222943,Multifamily Housing
118892,Multifamily Housing
103962,
160383,Multifamily Housing
251451,K-12 School
254153,Multifamily Housing
251235,Multifamily Housing
102336,Office
160198,Hotel
256736,K-12 School
173789,
256458,
148673,Multifamily Housing
121374,Supermarket/Grocery Store
160186,Hotel
175523,Office
254164,Library
159902,Multifamily Housing
172670,
251416,K-12 School
251898,K-12 School
244200,Multifamily Housing
100730,Office
253957,Multifamily Housing
103475,
101999,Multifamily Housing
252071,Multifamily Housing
251574,K-12 School
256549,
251668,K-12 School
252054,Museum
252104,Office
173888,Residence Hall/Dormitory
251593,K-12 School
234641,Multifamily Housing
254048,Multifamily Housing
119039,Senior Living Community
251429,K-12 School
172485,Multifamily Housing
255970,Multifamily Housing
255027,Multifamily Housing
251588,K-12 School
256653,
251698,K-12 School
175960,Multifamily Housing
244534,Multifamily Housing
256422,College/University
260029,Multifamily Housing
251491,K-12 School
103597,Office
256794,
103645,Office
161131,Multifamily Housing
244360,Multifamily Housing
251651,K-12 School
252328,Multifamily Housing
160105,Hotel
251683,K-12 School
172106,Multifamily Housing
116408,Senior Living Community
251408,K-12 School
160373,Multifamily Housing
252075,
256672,Multifamily Housing
100631,K-12 School
237384,Multifamily Housing
251518,K-12 School
254989,Performing Arts
160347,Multifamily Housing
251600,K-12 School
251325,College/University
251277,
251401,K-12 School
251280,
156373,Office
252123,Other
165819,Multifamily Housing
101713,Office
101799,Office
111837,Multifamily Housing
252031,Hotel
244318,Multifamily Housing
251530,K-12 School
252030,
175751,Office
255003,
251692,K-12 School
148480,Multifamily Housing
101756,Office
112801,Multifamily Housing
160284,
252127,Multifamily Housing
188280,Multifamily Housing
130758,Multifamily Housing
159892,Multifamily Housing
116552,
260149,Supermarket/Grocery Store
251260,Multifamily Housing
104226,Multifamily Housing
118695,Senior Living Community
255017,Multifamily Housing
256680,Multifamily Housing
252216,Multifamily Housing
233760,Multifamily Housing
103766,Office
159982,Multifamily Housing
175495,Performing Arts
244325,Multifamily Housing
251488,K-12 School
175789,
101560,Office
251404,K-12 School
159651,Multifamily Housing
251541,K-12 School
175892,
104430,Multifamily Housing
119629,Supermarket/Grocery Store
102766,Multifamily Housing
112724,Multifamily Housing
145637,
130949,
251470,K-12 School
175236,
117115,
104105,Multifamily Housing
251287,Hotel
103314,
251352,
156876,
251536,K-12 School
168225,Multifamily Housing
251246,
250002,College/University
162430,K-12 School
159421,
239695,Multifamily Housing
157602,Multifamily Housing
251237,Multifamily Housing
156879,
251242,Multifamily Housing
255935,Multifamily Housing
116716,Multifamily Housing
251461,K-12 School
176022,Retail Store
256663,Multifamily Housing
175257,Office
104849,Multifamily Housing
252267,
251389,K-12 School
254571,
175581,Other
173858,Mixed Use Property
173774,Multifamily Housing
254996,Automobile Dealership
251399,K-12 School
172298,Multifamily Housing
159411,Multifamily Housing
103310,Multifamily Housing
119552,Supermarket/Grocery Store
254023,Multifamily Housing
160293,Multifamily Housing
173870,Multifamily Housing
241892,Multifamily Housing
103656,Office
175817,Other - Mall
250154,
252301,Multifamily Housing
255020,Hotel
103816,Office
252024,K-12 School
104635,
126126,Supermarket/Grocery Store
173724,College/University
182200,Multifamily Housing
114252,Multifamily Housing
132904,Office
147625,Multifamily Housing
256490,Multifamily Housing
251563,K-12 School
157152,Multifamily Housing
101776,Hotel
251544,K-12 School
175365,College/University
105339,
251447,K-12 School
244600,Multifamily Housing
251607,K-12 School
120931,Retail Store
106101,Multifamily Housing
160294,Multifamily Housing
120015,
