community_area,address
HYDE PARK,1100 E 57th St
KENWOOD,4800 - 4850 S Lake Park Ave
NEAR WEST SIDE,330 N Green St
NEAR NORTH SIDE,400 W Superior St
NEAR WEST SIDE,215 N. Aberdeen St.
Englewood,6307 S STEWART AVE
LINCOLN PARK,700 W Fullerton Ave
NEAR NORTH SIDE,900 North Michigan
NEAR SOUTH SIDE,2111 S Clark Ave
Loop,901 S Plymouth Ct
ROGERS PARK,7350 7352 N SHERIDAN RD
GAGE PARK,2411 W 55th St
North Center,4434 4444 N Damen Ave
DUNNING,6024 W Warwick Ave
NEAR NORTH SIDE,322 E Illinois St
WEST TOWN,1611  W DIVISION ST
NEAR WEST SIDE,500 W Monroe
UPTOWN,4845 4859 N MAGNOLIA AVE
BELMONT CRAGIN,2103 N Lamon Ave
LAKE VIEW,1617 1633 W BELMONT AVE
LAKE VIEW,3470  N LAKE SHORE DR
LOOP,160 N LaSalle St
DOUGLAS,2801 S King Dr
Near South Side,1200 S Indiana Ave
Near North Side,454 W DIVISION ST
NEAR WEST SIDE,1628 W Washington Blvd
LINCOLN PARK,1110 W Belden
NEAR WEST SIDE,321 339 S DESPLAINES ST
Lake View,3140 N Sheffield Ave
CHICAGO LAWN,2701 W 68th St
NEAR NORTH SIDE,1540 N LaSalle St
NEAR SOUTH SIDE,2025  S INDIANA AVE
PORTAGE PARK,4310 N Melvina Ave
WASHINGTON HEIGHTS,832 890 W 103RD ST
NEAR NORTH SIDE,240 E Illinois St
HERMOSA,4600 4650 W Diversey Ave
LAKE VIEW,3825  N PINE GROVE AVE
LINCOLN SQUARE,4740 N Western Ave
UPTOWN,4827 N SHERIDAN RD
LINCOLN SQUARE,2727 W WINONA ST
ENGLEWOOD,6201 S Stewart Ave
UPTOWN,5030 N Marine Dr
LOOP,30 W Monroe
EDGEWATER,5230 5244 N SHERIDAN RD
LOOP,212 W Washington St
EAST GARFIELD PARK,3333  W MAYPOLE AVE
UPTOWN,4200 4212 N MARINE DR
NEAR NORTH SIDE,55 E Ontario St
HYDE PARK,1451 E 55th St
NEAR NORTH SIDE,849 N Franklin St
LAKE VIEW,2828  N CAMBRIDGE AVE
DOUGLAS,2631 S Indiana Ave
